,Time,Event,Part,Process,Machine
0,0,Part0 Created,Part0_0,Source0,
1,0,Part1 Created,Part1_0,Source1,
2,0,Part2 Created,Part2_0,Source2,
3,0,Part3 Created,Part3_0,Source3,
4,0,Part4 Created,Part4_0,Source4,
5,0,Part5 Created,Part5_0,Source5,
6,0,Part6 Created,Part6_0,Source6,
7,0,Part7 Created,Part7_0,Source7,
8,0,Part8 Created,Part8_0,Source8,
9,0,Part9 Created,Part9_0,Source9,
10,0,Part0_0_Routing Start,Part0_0,Source0,
11,0,Part1_0_Routing Start,Part1_0,Source1,
12,0,Part2_0_Routing Start,Part2_0,Source2,
13,0,Part3_0_Routing Start,Part3_0,Source3,
14,0,Part4_0_Routing Start,Part4_0,Source4,
15,0,Part5_0_Routing Start,Part5_0,Source5,
16,0,Part6_0_Routing Start,Part6_0,Source6,
17,0,Part7_0_Routing Start,Part7_0,Source7,
18,0,Part8_0_Routing Start,Part8_0,Source8,
19,0,Part9_0_Routing Start,Part9_0,Source9,
20,0,Part0_0_Routing Finished,Part0_0,Source0,
21,0,Part0_0 transferred from Source,Part0_0,Process0,
22,0,Part1_0_Routing Finished,Part1_0,Source1,
23,0,Part1_0 transferred from Source,Part1_0,Process0,
24,0,Part2_0_Routing Finished,Part2_0,Source2,
25,0,Part2_0 transferred from Source,Part2_0,Process1,
26,0,Part3_0_Routing Finished,Part3_0,Source3,
27,0,Part3_0 transferred from Source,Part3_0,Process1,
28,0,Part4_0_Routing Finished,Part4_0,Source4,
29,0,Part4_0 transferred from Source,Part4_0,Process2,
30,0,Part5_0_Routing Finished,Part5_0,Source5,
31,0,Part5_0 transferred from Source,Part5_0,Process2,
32,0,Part6_0_Routing Finished,Part6_0,Source6,
33,0,Part6_0 transferred from Source,Part6_0,Process1,
34,0,Part7_0_Routing Finished,Part7_0,Source7,
35,0,Part7_0 transferred from Source,Part7_0,Process2,
36,0,Part8_0_Routing Finished,Part8_0,Source8,
37,0,Part8_0 transferred from Source,Part8_0,Process0,
38,0,Part9_0_Routing Finished,Part9_0,Source9,
39,0,Part9_0 transferred from Source,Part9_0,Process1,
40,0,Started,Part0_0,Process0,M0
41,0,Started,Part2_0,Process1,M1
42,0,Started,Part4_0,Process2,M2
43,14,Finished,Part4_0,Process2,M2
44,14,Started,Part5_0,Process2,M2
45,29,Finished,Part0_0,Process0,M0
46,29,Started,Part1_0,Process0,M0
47,72,Finished,Part1_0,Process0,M0
48,72,Started,Part8_0,Process0,M0
49,91,Finished,Part2_0,Process1,M1
50,91,Started,Part3_0,Process1,M1
51,98,Finished,Part5_0,Process2,M2
52,98,Started,Part7_0,Process2,M2
53,129,Finished,Part7_0,Process2,M2
54,129,Started,Part1_0,Process2,M2
55,148,Finished,Part8_0,Process0,M0
56,148,Started,Part2_0,Process0,M0
57,172,Finished,Part3_0,Process1,M1
58,172,Started,Part6_0,Process1,M1
59,218,Finished,Part6_0,Process1,M1
60,218,Started,Part9_0,Process1,M1
61,219,Finished,Part1_0,Process2,M2
62,219,Started,Part3_0,Process2,M2
63,219,Started,Part1_0,Process4,M4
64,233,Finished,Part2_0,Process0,M0
65,233,Started,Part4_0,Process0,M0
66,233,Started,Part2_0,Process3,M3
67,239,Finished,Part4_0,Process0,M0
