,Machine,Job,Start,Finish,Delta
0,0,Part0_0,0,29,29
1,2,Part4_0,0,14,14
2,1,Part2_0,0,91,91
3,2,Part5_0,14,98,84
4,0,Part1_0,29,72,43
5,0,Part8_0,72,148,76
6,1,Part3_0,91,172,81
7,2,Part7_0,98,129,31
8,2,Part1_0,129,219,90
9,0,Part2_0,148,233,85
10,1,Part6_0,172,218,46
11,1,Part9_0,218,303,85
12,4,Part1_0,219,294,75
13,2,Part3_0,219,314,95
14,3,Part2_0,233,272,39
15,0,Part4_0,233,239,6
16,0,Part6_0,239,276,37
17,3,Part6_0,276,337,61
18,0,Part7_0,276,362,86
19,9,Part1_0,294,305,11
20,1,Part0_0,303,381,78
21,0,Part9_0,362,375,13
22,0,Part3_0,375,446,71
23,1,Part5_0,381,383,2
24,2,Part0_0,381,390,9
25,1,Part8_0,383,452,69
26,5,Part5_0,383,435,52
27,2,Part9_0,390,451,61
28,4,Part3_0,446,545,99
29,2,Part2_0,451,525,74
30,6,Part9_0,451,458,7
31,3,Part8_0,452,528,76
32,1,Part4_0,452,474,22
33,1,Part7_0,474,520,46
34,5,Part4_0,474,535,61
35,2,Part6_0,525,538,13
36,8,Part2_0,525,615,90
37,3,Part0_0,528,564,36
38,5,Part7_0,535,609,74
39,6,Part3_0,545,554,9
40,6,Part6_0,554,586,32
41,3,Part5_0,564,659,95
42,4,Part0_0,564,613,49
43,5,Part8_0,609,660,51
44,4,Part7_0,613,645,32
45,6,Part7_0,645,733,88
46,3,Part1_0,659,728,69
47,8,Part5_0,659,707,48
48,2,Part8_0,660,745,85
49,5,Part0_0,660,671,11
50,5,Part2_0,671,681,10
51,7,Part2_0,681,693,12
52,5,Part6_0,681,702,21
53,9,Part5_0,707,779,72
54,8,Part9_0,707,771,64
55,1,Part1_0,728,756,28
56,3,Part4_0,728,754,26
57,6,Part0_0,733,795,62
58,4,Part4_0,754,823,69
59,8,Part3_0,771,823,52
60,9,Part8_0,779,790,11
61,0,Part5_0,779,826,47
62,9,Part9_0,790,866,76
63,6,Part1_0,795,841,46
64,8,Part4_0,823,844,21
65,7,Part3_0,823,908,85
66,6,Part8_0,841,881,40
67,8,Part7_0,844,863,19
68,9,Part6_0,866,898,32
69,5,Part9_0,866,913,47
70,6,Part2_0,881,970,89
71,8,Part6_0,898,987,89
72,9,Part7_0,898,946,48
73,7,Part0_0,908,964,56
74,3,Part3_0,908,1006,98
75,5,Part1_0,913,959,46
76,7,Part4_0,964,1013,49
77,9,Part2_0,970,1015,45
78,6,Part5_0,970,1035,65
79,8,Part0_0,987,1031,44
80,3,Part9_0,1006,1058,52
81,7,Part8_0,1013,1102,89
82,9,Part3_0,1015,1037,22
83,4,Part5_0,1035,1041,6
84,5,Part3_0,1037,1080,43
85,9,Part4_0,1037,1109,72
86,4,Part8_0,1102,1128,26
87,7,Part1_0,1102,1174,72
88,9,Part0_0,1109,1130,21
89,6,Part4_0,1109,1162,53
90,4,Part9_0,1128,1218,90
91,7,Part6_0,1174,1204,30
92,8,Part1_0,1174,1204,30
93,8,Part8_0,1204,1278,74
94,7,Part7_0,1204,1240,36
95,4,Part2_0,1218,1251,33
96,7,Part5_0,1240,1265,25
97,3,Part7_0,1240,1319,79
98,4,Part6_0,1251,1306,55
99,7,Part9_0,1265,1310,45
